shipment_id,route_id,origin,destination,carrier,ship_date,expected_delivery_date,actual_delivery_date,status
SHP000597,NEW-HOU,New York,Huoston,TransHaul Co,05/16/2025,2025-05-23,27 May 2025,DELIVERED
SHP000430,ATL-SEA,atlanta,SEA,TransHaul Co,"Apr 24, 2025",01 May 2025,,IN_TRANSIT
SHP000006,ATL-NEW,ATL,New York City,Pioneer Cargo,08/07/2025,11-08-2025,15-08-2025,DELAYED
SHP000473,MIA-DEN,Miami,Denver,Pioneer Cargo,2025-04-05,04/06/2025,09 Apr 2025,DELAYED
SHP000216,MIA-LOS,Maimi,Los Angles,Pioneer Cargo,22-05-2025,28-05-2025,01-06-2025,DELAYED
SHP000438,LOS-CHI,Los Angles,CHI,BlueLine Logistics,03-04-2025,"Apr 13, 2025",15 Apr 2025,DELAYED
SHP000179,SEA-MIA,Seatle,Miami,Swift Freight,2025-02-06,02/10/2025,,IN_TRANSIT
SHP000491,CHI-SEA,Chicago,SEA,BlueLine Logistics,2025-06-28,29-06-2025,07/03/2025,DELIVERED
SHP000118,ATL-DEN,Atlanta,DEN,,02/27/2025,06-03-2025,,DELAYED
SHP000349,LOS-HOU,Los Angeles,HOU,Pioneer Cargo,"May 09, 2025",19 May 2025,19 May 2025,DELIVERED
SHP000197,HOU-DEN,HOU,Denver,Pioneer Cargo,12-07-2025,07/17/2025,,CANCELLED
SHP000203,NEW-SEA,NYC,Seattle,Swift Freight,2025-02-25,"Mar 07, 2025",2025-03-09,DELIVERED
SHP000532,SEA-MIA,SEA,Miami,Swift Freight,23 Apr 2025,25 Apr 2025,25 Apr 2025,DELIVERED
SHP000385,CHI-ATL,Chcago,Atlanta,Pioneer Cargo,01/18/2025,01/27/2025,30-01-2025,DELIVERED
SHP000477,SEA-HOU,seattle,houston,TransHaul Co,15 Jul 2025,22-07-2025,25-07-2025,DELAYED
SHP000248,CHI-DEN,chicago,Denvor,BlueLine Logistics,05/24/2025,"May 31, 2025",,CANCELLED
SHP000027,SEA-CHI,seattle,CHI,TransHaul Co,22-02-2025,2025-02-28,2025-03-02,DELIVERED
SHP000423,NEW-LOS,new york,L.A.,TransHaul Co,2025-04-10,2025-04-11,18-04-2025,DELAYED
SHP000232,ATL-LOS,ATL,Los Angeles,,2025-04-08,11-04-2025,"Apr 14, 2025",DELAYED
SHP000119,SEA-CHI,Seatle,Chicago,BlueLine Logistics,2025-01-02,2025-01-05,10 Jan 2025,DELAYED
SHP000082,ATL-HOU,atlanta,houston,Pioneer Cargo,14 Aug 2025,2025-08-22,26 Aug 2025,DELIVERED
SHP000322,LOS-NEW,Los Angles,new york,Swift Freight,"Jun 21, 2025",27 Jun 2025,"Jul 01, 2025",DELAYED
SHP000001,LOS-NEW,Los Angeles,N.York,Swift Freight,09 Jul 2025,"Jul 14, 2025",2025-07-14,DELIVERED
SHP000289,LOS-DEN,LA,DEN,Swift Freight,2025-05-16,05/20/2025,20 May 2025,DELIVERED
SHP000053,NEW-HOU,New York,Huoston,BlueLine Logistics,"Jun 01, 2025",06/11/2025,,IN_TRANSIT
SHP000576,DEN-ATL,Denver,Atlanta,Pioneer Cargo,2025-08-02,10-08-2025,,CANCELLED
SHP000360,ATL-SEA,Atlanta,Seatle,TransHaul Co,"Jan 24, 2025",30-01-2025,"Feb 01, 2025",DELAYED
SHP000173,LOS-CHI,LA,chicago,Swift Freight,2025-03-03,11-03-2025,"Mar 13, 2025",DELIVERED
SHP000527,SEA-HOU,seattle,Houston,Pioneer Cargo,2025-08-01,08/06/2025,2025-08-07,DELIVERED
SHP000536,LOS-MIA,Los Angeles,Maimi,Swift Freight,"Jul 15, 2025",23-07-2025,,IN_TRANSIT
SHP000254,CHI-DEN,CHI,Denver,TransHaul Co,08/04/2025,08/12/2025,,IN_TRANSIT
SHP000160,CHI-ATL,chicago,Atlanta,Swift Freight,04/04/2025,"Apr 11, 2025",12 Apr 2025,DELIVERED
SHP000429,ATL-LOS,ATL,los angeles,Swift Freight,15 Apr 2025,24-04-2025,,DELIVERED
SHP000451,CHI-ATL,Chcago,ATL,Pioneer Cargo,"Jun 02, 2025",10 Jun 2025,,IN_TRANSIT
SHP000435,NEW-MIA,New York City,MIA,Pioneer Cargo,"Aug 08, 2025",17 Aug 2025,,CANCELLED
SHP000137,LOS-CHI,los angeles,chicago,Swift Freight,"May 24, 2025",31 May 2025,,IN_TRANSIT
SHP000226,DEN-NEW,Denvor,New York City,Pioneer Cargo,13 Jun 2025,2025-06-14,15 Jun 2025,DELAYED
SHP000306,CHI-HOU,chicago,Houston,TransHaul Co,2025-01-10,12-01-2025,15 Jan 2025,DELIVERED
SHP000217,DEN-HOU,denver,HOU,Pioneer Cargo,"Jan 26, 2025",2025-02-03,06 Feb 2025,DELAYED
SHP000460,CHI-LOS,Chicago,Los Angeles,BlueLine Logistics,"Aug 18, 2025","Aug 23, 2025",08/30/2025,DELAYED
SHP000125,NEW-HOU,New York City,Huoston,TransHaul Co,24-08-2025,2025-08-26,"Aug 31, 2025",DELAYED
SHP000466,CHI-DEN,CHI,Denvor,BlueLine Logistics,19 Aug 2025,08/20/2025,22 Aug 2025,DELIVERED
SHP000010,CHI-LOS,Chcago,Los Angles,TransHaul Co,10-07-2025,07/19/2025,07/23/2025,DELIVERED
SHP000225,ATL-SEA,Atlanta,Seattle,TransHaul Co,"Jul 31, 2025","Aug 02, 2025",,IN_TRANSIT
SHP000167,LOS-ATL,LA,ATL,Pioneer Cargo,2025-02-09,14-02-2025,02/15/2025,DELIVERED
SHP000039,MIA-ATL,Miami,atlanta,,"Feb 18, 2025",2025-02-23,25-02-2025,DELIVERED
SHP000554,DEN-HOU,DEN,Huoston,Pioneer Cargo,12-05-2025,20-05-2025,,IN_TRANSIT
SHP000221,MIA-LOS,Miami,LA,TransHaul Co,04-08-2025,2025-08-08,08 Aug 2025,DELIVERED
SHP000443,SEA-ATL,Seattle,ATL,BlueLine Logistics,23 May 2025,28 May 2025,30 May 2025,DELIVERED
SHP000313,NEW-DEN,New York City,Denvor,TransHaul Co,09-04-2025,17 Apr 2025,"Apr 19, 2025",DELAYED
SHP000259,HOU-LOS,Huoston,LA,BlueLine Logistics,07/27/2025,08/06/2025,,IN_TRANSIT
SHP000389,LOS-NEW,Los Angeles,new york,BlueLine Logistics,"Feb 12, 2025",2025-02-21,02/25/2025,DELIVERED
SHP000344,LOS-HOU,L.A.,HOU,TransHaul Co,2025-08-16,08/20/2025,08/24/2025,DELIVERED
SHP000268,LOS-SEA,LA,seattle,TransHaul Co,2025-01-25,2025-01-26,26-01-2025,DELIVERED
SHP000278,CHI-DEN,chicago,DEN,TransHaul Co,22 Jan 2025,2025-01-27,27-01-2025,DELIVERED
SHP000566,MIA-SEA,Miami,seattle,Pioneer Cargo,15-07-2025,"Jul 25, 2025",2025-07-27,DELAYED
SHP000523,SEA-MIA,Seattle,miami,TransHaul Co,03/28/2025,"Apr 05, 2025",12 Apr 2025,DELAYED
SHP000041,CHI-LOS,chicago,Los Angles,Pioneer Cargo,"Apr 18, 2025",25 Apr 2025,,IN_TRANSIT
SHP000333,SEA-MIA,Seattle,miami,Pioneer Cargo,"Apr 29, 2025",08 May 2025,"May 08, 2025",DELIVERED
SHP000440,CHI-ATL,CHI,atlanta,TransHaul Co,"Jun 25, 2025",06/29/2025,07/05/2025,DELAYED
SHP000433,SEA-CHI,seattle,Chcago,BlueLine Logistics,02/25/2025,03/07/2025,11-03-2025,DELIVERED
SHP000200,LOS-ATL,Los Angles,Atlanta,Swift Freight,25 Apr 2025,04 May 2025,05/05/2025,DELAYED
SHP000454,HOU-MIA,Huoston,Maimi,BlueLine Logistics,01/02/2025,"Jan 11, 2025","Jan 13, 2025",DELIVERED
SHP000450,NEW-DEN,New York City,Denvor,Pioneer Cargo,19 Jun 2025,"Jun 25, 2025",06/28/2025,DELAYED
SHP000147,CHI-ATL,CHI,atlanta,Pioneer Cargo,2025-08-29,2025-09-08,09/08/2025,DELIVERED
SHP000402,ATL-SEA,Atlanta,Seatle,,2025-08-15,17 Aug 2025,18-08-2025,DELAYED
SHP000479,HOU-MIA,HOU,miami,Swift Freight,2025-03-22,"Mar 23, 2025",29-03-2025,DELAYED
SHP000066,HOU-CHI,houston,chicago,BlueLine Logistics,"Jan 31, 2025",09-02-2025,,CANCELLED
SHP000104,MIA-ATL,Miami,Atalanta,TransHaul Co,10-07-2025,2025-07-13,19-07-2025,DELAYED
SHP000563,SEA-DEN,Seattle,Denver,Swift Freight,"Jun 26, 2025",2025-06-29,29 Jun 2025,DELIVERED
SHP000273,HOU-CHI,HOU,Chicago,,06/15/2025,17 Jun 2025,20 Jun 2025,DELIVERED
SHP000390,MIA-SEA,Miami,Seatle,Pioneer Cargo,2025-07-29,2025-07-31,2025-08-02,DELAYED
SHP000144,CHI-MIA,Chcago,MIA,Swift Freight,"Apr 22, 2025",2025-04-24,"Apr 26, 2025",DELAYED
SHP000357,LOS-MIA,los angeles,miami,TransHaul Co,11-05-2025,13-05-2025,"May 14, 2025",DELAYED
SHP000419,NEW-ATL,new york,ATL,TransHaul Co,14-05-2025,2025-05-16,05/18/2025,DELIVERED
SHP000251,SEA-ATL,SEA,ATL,TransHaul Co,10 Apr 2025,04/20/2025,20-04-2025,DELIVERED
SHP000339,SEA-CHI,SEA,chicago,BlueLine Logistics,13 Jun 2025,06/19/2025,2025-06-22,DELAYED
SHP000116,SEA-DEN,Seatle,Denver,Pioneer Cargo,01 Feb 2025,08-02-2025,12-02-2025,DELIVERED
SHP000131,DEN-HOU,Denver,HOU,Swift Freight,11-06-2025,"Jun 16, 2025","Jun 21, 2025",DELAYED
SHP000484,DEN-MIA,Denvor,MIA,TransHaul Co,06/02/2025,06/12/2025,12-06-2025,DELIVERED
SHP000338,MIA-ATL,MIA,ATL,Pioneer Cargo,2025-01-27,"Jan 28, 2025",2025-02-01,DELIVERED
SHP000337,ATL-HOU,ATL,houston,TransHaul Co,18-08-2025,25 Aug 2025,29 Aug 2025,DELAYED
SHP000223,ATL-NEW,Atlanta,New York,BlueLine Logistics,05/09/2025,05/16/2025,18 May 2025,DELAYED
SHP000524,SEA-HOU,SEA,HOU,Swift Freight,07/20/2025,27 Jul 2025,28-07-2025,DELAYED
SHP000286,NEW-HOU,NYC,HOU,Swift Freight,18 Jan 2025,"Jan 26, 2025",2025-02-02,DELAYED
SHP000323,DEN-ATL,Denvor,Atlanta,BlueLine Logistics,2025-08-14,"Aug 18, 2025",08/18/2025,DELIVERED
SHP000388,ATL-NEW,Atalanta,New York City,Swift Freight,22-08-2025,08/31/2025,03-09-2025,DELAYED
SHP000302,DEN-CHI,DEN,chicago,Swift Freight,22-08-2025,01 Sep 2025,09/03/2025,DELIVERED
SHP000102,SEA-ATL,Seatle,ATL,TransHaul Co,2025-02-26,02/28/2025,,IN_TRANSIT
SHP000412,CHI-LOS,chicago,Los Angeles,BlueLine Logistics,11-06-2025,06/20/2025,23 Jun 2025,DELIVERED
SHP000089,CHI-NEW,Chcago,New York,Pioneer Cargo,01 May 2025,"May 06, 2025",10-05-2025,DELIVERED
SHP000409,DEN-ATL,denver,atlanta,Swift Freight,02 Jan 2025,11-01-2025,01/15/2025,DELAYED
SHP000432,NEW-SEA,New York City,SEA,Swift Freight,02 Aug 2025,08/07/2025,"Aug 07, 2025",DELIVERED
SHP000019,CHI-SEA,chicago,Seatle,TransHaul Co,08/28/2025,2025-09-07,,IN_TRANSIT
SHP000205,LOS-SEA,Los Angeles,seattle,TransHaul Co,19 Jun 2025,06/28/2025,,DELIVERED
SHP000426,SEA-LOS,Seattle,los angeles,TransHaul Co,17-06-2025,"Jun 18, 2025",,CANCELLED
SHP000417,NEW-MIA,New York,Maimi,BlueLine Logistics,"Jun 23, 2025","Jun 30, 2025",01-07-2025,DELIVERED
SHP000085,MIA-CHI,MIA,CHI,TransHaul Co,08/28/2025,"Sep 06, 2025",06 Sep 2025,DELIVERED
SHP000067,ATL-NEW,atlanta,NYC,Swift Freight,02 Aug 2025,08/06/2025,07-08-2025,DELIVERED
SHP000159,SEA-CHI,Seatle,CHI,Pioneer Cargo,"Apr 09, 2025",2025-04-19,19 Apr 2025,DELIVERED
SHP000212,DEN-NEW,denver,New York City,BlueLine Logistics,24-05-2025,05/31/2025,,CANCELLED
SHP000560,DEN-HOU,denver,Huoston,TransHaul Co,"May 02, 2025",07-05-2025,05/10/2025,DELIVERED
SHP000462,LOS-CHI,LA,Chicago,BlueLine Logistics,"May 04, 2025",09-05-2025,2025-05-09,DELIVERED
SHP000494,NEW-DEN,New York City,denver,Swift Freight,05-03-2025,14-03-2025,16-03-2025,DELIVERED
SHP000531,LOS-ATL,LA,ATL,BlueLine Logistics,07/16/2025,21-07-2025,22-07-2025,DELIVERED
