id,origin_city,dest_city,ship_dt,delivery_dt,status
SHP000367,Denver,Houston,"Mar 22, 2025",2025-03-24,CANCELLED
SHP000526,Chicago,ATL,2025-01-30,02/07/2025,DELAYED
SHP000204,Atalanta,HOU,"Feb 16, 2025","Feb 25, 2025",DELAYED
SHP000185,New York City,Seatle,02/05/2025,15 Feb 2025,DELIVERED
SHP000468,Seattle,HOU,01-01-2025,unknown,DELIVERED
SHP000442,New York City,Houston,26-01-2025,30-01-2025,DELIVERED
,Maimi,Huoston,2025-02-06,2025-02-16,IN_TRANSIT
SHP000310,Miami,Chcago,07/07/2025,16-07-2025,DELIVERED
SHP000309,SEA,LA,02/10/2025,02/21/2025,DELAYED
SHP000504,Miami,Seattle,"Mar 22, 2025",2025-03-29,IN_TRANSIT
SHP000252,Los Angeles,seattle,02/04/2025,"Feb 11, 2025",DELIVERED
SHP000439,SEA,CHI,17-02-2025,,DELIVERED
SHP000202,New York,Huoston,2025-02-03,15-02-2025,DELIVERED
SHP000263,MIA,Atalanta,11-07-2025,16 Jul 2025,IN_TRANSIT
SHP000045,Miami,Houston,04/13/2025,21 Apr 2025,DELIVERED
SHP000584,miami,seattle,26 Jul 2025,"Aug 03, 2025",IN_TRANSIT
SHP000347,Maimi,Seattle,20 Apr 2025,29-04-2025,DELIVERED
SHP000446,CHI,Denvor,"Feb 28, 2025",07 Mar 2025,DELIVERED
SHP000276,Seattle,Atlanta,2025-06-24,07/04/2025,DELAYED
SHP000598,NYC,SEA,2025-07-07,"Jul 16, 2025",DELAYED
SHP000012,Denver,ATL,2025-03-06,"Mar 16, 2025",DELAYED
SHP000101,los angeles,Houston,"Apr 05, 2025",2025-04-10,IN_TRANSIT
SHP000143,Seattle,ATL,08/28/2025,"Sep 04, 2025",DELAYED
SHP000393,Seattle,ATL,"Jan 28, 2025",2025-02-05,DELAYED
SHP000375,Maimi,CHI,17 Mar 2025,03/27/2025,DELAYED
SHP000114,SEA,Maimi,27-04-2025,05/04/2025,DELIVERED
SHP000270,atlanta,Los Angeles,08 Apr 2025,04/11/2025,IN_TRANSIT
SHP000552,Seattle,new york,"May 29, 2025",06 Jun 2025,CANCELLED
SHP000100,HOU,Miami,2025-06-23,30-06-2025,CANCELLED
SHP000556,New York,seattle,16-03-2025,03/28/2025,DELIVERED
SHP000539,Chicago,ATL,27-01-2025,"Feb 10, 2025",DELAYED
SHP000029,Atlanta,Los Angles,2025-04-23,07-05-2025,DELAYED
SHP000168,Atlanta,Los Angles,10 Jun 2025,15 Jun 2025,IN_TRANSIT
SHP000048,Atalanta,miami,"Mar 05, 2025",15-03-2025,DELAYED
,N.York,Atalanta,05/03/2025,10 May 2025,DELIVERED
SHP000229,Chicago,Miami,06/26/2025,29-06-2025,DELIVERED
